,CHURN_PROBABILITY,CHURN_LABEL,CLIENT_TO_CONTACT,DISCOUNT,CUSTOMER_ID
0,0.5193833944568,0,NO,0,C100002
1,0.45503159457309217,0,NO,0,C100003
2,0.8187811120913124,1,NO,0,C100004
3,0.9571368450670348,1,NO,0,C100005
4,0.916525165065144,1,NO,0,C100007
5,0.9762751076044252,1,NO,0,C100009
6,0.8614517484835978,1,NO,0,C100019
7,0.4371062889444293,0,NO,0,C100032
8,0.7980164319481201,1,NO,0,C100033
9,0.5405518977270689,1,NO,0,C100034
10,0.12679851768877545,0,NO,0,C100035
11,0.9422405303030302,1,NO,0,C100039
12,0.8452277127065467,1,NO,0,C100040
13,0.22579893031702827,0,YES,40,C100046
14,0.3471815941040557,0,YES,20,C100047
15,0.1655846660428934,0,YES,25,C100049
16,0.7523809523809524,1,NO,0,C100052
17,0.2607854506604506,0,YES,10,C100054
18,0.0923127446643161,0,YES,40,C100055
19,0.7072103761604878,1,NO,0,C100057
20,0.3948187693605151,0,NO,0,C100061
21,0.8545119269015014,1,NO,0,C100062
22,0.4544893873540747,0,NO,0,C100066
23,0.7585149624838065,1,NO,0,C100069
24,0.8154006091664766,1,NO,0,C100072
25,0.719687388051211,1,NO,0,C100076
26,0.7755930948192254,1,NO,0,C100085
27,0.7685239767544912,1,NO,0,C100089
28,0.8031457415159192,1,NO,0,C100095
29,0.4221941120046994,0,YES,10,C100096
30,0.08923565288198314,0,YES,40,C100100
31,0.5854024389414946,1,NO,0,C100101
32,0.6220298488897953,1,NO,0,C100107
33,0.9120215395480227,1,NO,0,C100108
34,0.7167981876272836,1,NO,0,C100113
35,0.9842298761362254,1,NO,0,C100115
36,0.6972042863250245,1,NO,0,C100116
37,0.08822669505209968,0,YES,40,C100118
38,0.6429088101396155,1,NO,0,C100124
39,0.9724380401052676,1,NO,0,C100134
40,0.7538707168740628,1,NO,0,C100135
41,0.877898577731915,1,NO,0,C100140
42,0.30604255523564605,0,NO,0,C100142
43,0.927151237515928,1,NO,0,C100146
